US_Coastline ,RSL_contribution,Offset_1992_2000,Offset_2000_2005,RSL2005,RSL2020 ,RSL2030,RSL2040 ,RSL2050,RSL2060,RSL2070,RSL2080,RSL2090,RSL2100,RSL2110,RSL2120,RSL2130,RSL2140,RSL2150,Scenario
1,-0.069,2,2,0,0,1,3,4,5,7,7,9,14,15,17,19,20,22,2
1,0.001,2,2,0,2,4,6,8,10,12,14,17,22,25,27,30,32,35,2
1,-0.334,2,2,0,-2,-3,-4,-5,-6,-7,-8,-8,-6,-6,-6,-7,-8,-8,2
1,0.053,2,2,0,6,12,18,22,25,29,32,36,39,43,47,51,55,59,2
1,0.049,2,2,0,6,12,18,22,25,29,32,36,39,43,47,51,55,59,2
1,0.007,2,2,0,6,10,16,20,22,26,28,32,36,39,43,47,50,54,2
1,0.006,2,2,0,6,10,16,19,22,26,28,32,36,40,43,47,50,54,2
1,0.005,2,2,0,6,10,16,19,22,26,27,31,36,39,43,47,50,53,2
1,0.004,2,2,0,5,10,15,19,21,25,26,31,35,38,42,45,49,52,2
1,0.001,2,2,0,5,9,14,18,20,24,25,29,33,37,40,44,47,50,2
1,-0.004,2,2,0,5,9,14,17,19,22,24,28,32,35,39,42,45,48,2
1,-0.012,2,2,0,4,8,13,16,18,21,23,26,30,33,37,40,43,46,2
1,-0.025,2,2,0,4,7,12,15,17,20,21,24,28,31,34,37,40,43,2
